id,name,long,lat
ANTI,Antigone,43.6092164,3.8886435
COME,Comédie,43.609246,3.880399
CORU,Corum,43.6134439,3.8816467
EURO,Europa,43.60807,3.89391
FOCH,Foch,43.61070,3.87634
GAMB,Gambetta,43.60874,3.86759
GARE,Gare,43.59495,3.92341
TRIA,Triangle,43.60933,3.88209
ARCT,Arc de Triomphe,43.61112,3.87309
PITO,Pitot,43.61280,3.87098
CIRC,Circé,43.60499,3.91823
SABI,Sabines,43.53506,3.86007
GARC,Garcia Lorca,43.59073,3.89097
MOSS,Mosson,43.61655,3.81868
SJLS,Saint-Jean Le Sec,43.57138,3.83888
MEDC,Euromédecine,43.63889,3.82800
OCCI,Occitanie,43.63591,3.84810
VICA,Vicarello,43.63286,3.89845
GA109,Gaumont EST,43.60396,3.91417
GA250,Gaumont OUEST,43.60396,3.91417
CDGA,Charles de Gaulles,43.62836,3.89829
ARCE,Arceaux,43.61214,3.86735
POLY,Polygone,43.61050,3.88589
